NAME,ISIN,ISSUE DATE,MATURITY DATE,COUPON,YIELD,08-Jan-24,09-Jan-24,10-Jan-24,11-Jan-24,12-Jan-24,15-Jan-24,16-Jan-24,17-Jan-24,18-Jan-24,19-Jan-24
CAN 0.25 Apr 1,CA135087L690,16-Oct-20,01-Apr-24,0.0025,0.0476,98.988,99.005,99.019,99.059,99.076,99.09,99.084,99.099,99.137,99.15
CAN 0.75 Oct 1,CA135087M508,12-Jul-21,01-Oct-24,0.0075,0.0477,97.22,97.22,97.234,97.255,97.308,97.348,97.258,97.225,97.249,97.256
CAN 1.5 Apr 1,CA135087N340,24-Jan-22,01-Apr-25,0.015,0.0461,96.533,96.545,96.591,96.64,96.72,96.68,96.62,96.5,96.49,96.48
CAN 3 Oct 1,CA135087P246,25-Jul-22,01-Oct-25,0.03,0.0433,98.19,98.2,98.26,98.25,98.31,98.31,98.21,98.02,97.98,97.97
CAN 3 Apr 1,CA135087P816,20-Jan-23,01-Apr-26,0.03,0.0406,98.27,98.28,98.37,98.35,98.43,98.44,98.3,98.05,98,97.99
CAN 1 Sep 1,CA135087L930,16-Apr-21,01-Sep-26,0.01,0.0391,93.46,93.44,93.55,93.53,93.6,93.57,93.4,93.12,93.08,93.07
CAN 1.25 Mar 1,CA135087M847,15-Oct-21,01-Mar-27,0.0125,0.0375,93.282,93.301,93.245,93.186,93.467,93.493,93.141,92.856,92.753,92.764
CAN 2.75 Sep 1,CA135087N837,13-May-22,01-Sep-27,0.0275,0.0366,97.58,97.591,97.603,97.52,97.74,97.772,97.441,97.092,96.956,96.947
CAN 3.5 Mar 1,CA135087P576,21-Oct-22,01-Mar-28,0.035,0.0358,100.5,100.48,100.439,100.328,100.637,100.673,100.22,99.834,99.662,99.623
CAN 3.25 Sep 1,CA135087Q491,21-Apr-23,01-Sep-28,0.0325,0.0353,99.74,99.72,99.72,99.55,99.88,99.91,99.44,98.99,98.81,98.77
