NAME,ISIN,ISSUE DATE,MATURITY DATE,COUPON,YIELD,
CAN 0.25 Apr 1,CA135087L690,"October 16, 2020","April 1, 2024 ",0.25%,4.76%,
CAN 0.75 Oct 1,CA135087M508,"July 12, 2021","October 1, 2024 ",0.75%,4.77%,
CAN 1.5 Apr 1,CA135087N340,"January 24, 2022","April 1, 2025 ",1.50%,4.61%,
CAN 3 Oct 1,CA135087P246,"July 25, 2022","October 1, 2025 ",3.00%,4.33%,
CAN 3 Apr 1,CA135087P816,"January 20, 2023","April 1, 2026 ",3.00%,4.06%,
CAN 1 Sep 1,CA135087L930,"April 16, 2021","September 1, 2026 ",1.00%,3.91%,
CAN 1.25 Mar 1,CA135087M847,"October 15, 2021","March 1, 2027 ",1.25%,3.75%,
CAN 2.75 Sep 1,CA135087N837,"May 13, 2022","September 1, 2027 ",2.75%,3.66%,
CAN 3.5 Mar 1,CA135087P576,"October 21, 2022","March 1, 2028 ",3.50%,3.58%,
CAN 3.25 Sep 1,CA135087Q491,"April 21, 2023","September 1, 2028 ",3.25%,3.53%,
